Date, Cityname, Citycode, Provincename, Number,weekday,month,day
2020-03-31, Leeuwarden,80, Friesland,16,Tuesday,3,31
2020-03-31, Heerenveen,74, Friesland,5,Tuesday,3,31
2020-03-31, Harlingen,72, Friesland,1,Tuesday,3,31
2020-03-31, Zeewolde,50, Flevoland,3,Tuesday,3,31
2020-03-31, Veendam,47, Groningen,1,Tuesday,3,31
2020-03-31, Almere,34, Flevoland,46,Tuesday,3,31
2020-03-31, Groningen,14, Groningen,9,Tuesday,3,31
2020-03-31, Delfzijl,10, Groningen,4,Tuesday,3,31
2020-03-31, Vlaardingen,622, South Holland,12,Tuesday,3,31
2020-03-31, Meppel,119, Drenthe,3,Tuesday,3,31
2020-03-31, Almelo,141, Overijssel,8,Tuesday,3,31
2020-03-31, Borne,147, Overijssel,10,Tuesday,3,31
2020-03-31, Dalfsen,148, Overijssel,7,Tuesday,3,31
2020-03-31, Aalten,197, Gelderland,1,Tuesday,3,31
2020-03-31, Zwolle,193, Overijssel,24,Tuesday,3,31
2020-03-31, Wierden,189, Overijssel,2,Tuesday,3,31
2020-03-31, Urk,184, Flevoland,11,Tuesday,3,31
2020-03-31, Tubbergen,183, Overijssel,7,Tuesday,3,31
2020-03-31, Staphorst,180, Overijssel,1,Tuesday,3,31
2020-03-31, Raalte,177, Overijssel,14,Tuesday,3,31
2020-03-31, Ommen,175, Overijssel,4,Tuesday,3,31
2020-03-31, Arnhem,202, Gelderland,28,Tuesday,3,31
2020-03-31, Oldenzaal,173, Overijssel,8,Tuesday,3,31
2020-03-31, Losser,168, Overijssel,2,Tuesday,3,31
2020-03-31, Kampen,166, Overijssel,34,Tuesday,3,31
2020-03-31, Hengelo,164, Overijssel,6,Tuesday,3,31
2020-03-31, Hellendoorn,163, Overijssel,3,Tuesday,3,31
2020-03-31, Hardenberg,160, Overijssel,9,Tuesday,3,31
2020-03-31, Haaksbergen,158, Overijssel,4,Tuesday,3,31
2020-03-31, Enschede,153, Overijssel,24,Tuesday,3,31
2020-03-31, Deventer,150, Overijssel,21,Tuesday,3,31
2020-03-31, Noordoostpolder,171, Flevoland,6,Tuesday,3,31
2020-03-31, Houten,321, Utrecht,9,Tuesday,3,31
2020-03-31, Brummen,213, Gelderland,3,Tuesday,3,31
2020-03-31, Albrandswaard,613, South Holland,4,Tuesday,3,31
2020-03-31, Gorinchem,512, South Holland,9,Tuesday,3,31
2020-03-31, Dordrecht,505, South Holland,26,Tuesday,3,31
2020-03-31, Delft,503, South Holland,19,Tuesday,3,31
2020-03-31, Capelle aan den IJssel,502, South Holland,20,Tuesday,3,31
2020-03-31, Brielle,501, South Holland,5,Tuesday,3,31
2020-03-31, Drechterland,498, North Holland,1,Tuesday,3,31
2020-03-31, Barendrecht,489, South Holland,16,Tuesday,3,31
2020-03-31, Alphen aan den Rijn,484, South Holland,29,Tuesday,3,31
2020-03-31, Alblasserdam,482, South Holland,2,Tuesday,3,31
2020-03-31, Zaanstad,479, North Holland,32,Tuesday,3,31
2020-03-31, Zandvoort,473, North Holland,4,Tuesday,3,31
2020-03-31, Weesp,457, North Holland,2,Tuesday,3,31
2020-03-31, Velsen,453, North Holland,13,Tuesday,3,31
2020-03-31, Uithoorn,451, North Holland,9,Tuesday,3,31
2020-03-31, Uitgeest,450, North Holland,3,Tuesday,3,31
2020-03-31, Texel,448, North Holland,1,Tuesday,3,31
2020-03-31, Schagen,441, North Holland,10,Tuesday,3,31
2020-03-31, The Hague,518, South Holland,81,Tuesday,3,31
2020-03-31, Hardinxveld-Giessendam,523, South Holland,1,Tuesday,3,31
2020-03-31, Hellevoetsluis,530, South Holland,4,Tuesday,3,31
2020-03-31, Hendrik-Ido-Ambacht,531, South Holland,3,Tuesday,3,31
2020-03-31, Leusden,327, Utrecht,5,Tuesday,3,31
2020-03-31, Sliedrecht,610, South Holland,1,Tuesday,3,31
2020-03-31, Schiedam,606, South Holland,19,Tuesday,3,31
2020-03-31, Rijswijk,603, South Holland,12,Tuesday,3,31
2020-03-31, Rotterdam,599, South Holland,120,Tuesday,3,31
2020-03-31, Ridderkerk,597, South Holland,18,Tuesday,3,31
2020-03-31, Oudewater,589, Utrecht,15,Tuesday,3,31
2020-03-31, Oegstgeest,579, South Holland,3,Tuesday,3,31
2020-03-31, Purmerend,439, North Holland,35,Tuesday,3,31
2020-03-31, Noordwijk,575, South Holland,8,Tuesday,3,31
2020-03-31, Maassluis,556, South Holland,8,Tuesday,3,31
2020-03-31, Lisse,553, South Holland,3,Tuesday,3,31
2020-03-31, Leiderdorp,547, South Holland,5,Tuesday,3,31
2020-03-31, Leiden,546, South Holland,16,Tuesday,3,31
2020-03-31, Krimpen aan den IJssel,542, South Holland,2,Tuesday,3,31
2020-03-31, Katwijk,537, South Holland,8,Tuesday,3,31
2020-03-31, Hillegom,534, South Holland,3,Tuesday,3,31
2020-03-31, Stede Broec,532, North Holland,10,Tuesday,3,31
2020-03-31, Nieuwkoop,569, South Holland,4,Tuesday,3,31
2020-03-31, Ouder-Amstel,437, North Holland,3,Tuesday,3,31
2020-03-31, Gouda,513, South Holland,13,Tuesday,3,31
2020-03-31, Montfoort,335, Utrecht,9,Tuesday,3,31
2020-03-31, Beverwijk,375, North Holland,5,Tuesday,3,31
2020-03-31, Bergen (NH.),373, North Holland,8,Tuesday,3,31
2020-03-31, Beemster,370, North Holland,2,Tuesday,3,31
2020-03-31, Amsterdam,363, North Holland,244,Tuesday,3,31
2020-03-31, Amstelveen,362, North Holland,28,Tuesday,3,31
2020-03-31, Alkmaar,361, North Holland,19,Tuesday,3,31
2020-03-31, Nieuwegein,356, Utrecht,15,Tuesday,3,31
2020-03-31, Zeist,355, Utrecht,12,Tuesday,3,31
2020-03-31, Blaricum,376, North Holland,1,Tuesday,3,31
2020-03-31, IJsselstein,353, Utrecht,18,Tuesday,3,31
2020-03-31, Woudenberg,351, Utrecht,2,Tuesday,3,31
2020-03-31, Veenendaal,345, Utrecht,7,Tuesday,3,31
2020-03-31, Utrecht,344, Utrecht,75,Tuesday,3,31
2020-03-31, Soest,342, Utrecht,9,Tuesday,3,31
2020-03-31, Rhenen,340, Utrecht,2,Tuesday,3,31
2020-03-31, Renswoude,339, Utrecht,1,Tuesday,3,31
2020-03-31, Opmeer,432, North Holland,1,Tuesday,3,31
2020-03-31, Lopik,331, Utrecht,11,Tuesday,3,31
2020-03-31, Wijk bij Duurstede,352, Utrecht,5,Tuesday,3,31
2020-03-31, Bloemendaal,377, North Holland,3,Tuesday,3,31
2020-03-31, Aalsmeer,358, North Holland,5,Tuesday,3,31
2020-03-31, Medemblik,420, North Holland,9,Tuesday,3,31
2020-03-31, Oostzaan,431, North Holland,2,Tuesday,3,31
2020-03-31, Castricum,383, North Holland,8,Tuesday,3,31
2020-03-31, Laren,417, North Holland,5,Tuesday,3,31
2020-03-31, Langedijk,416, North Holland,6,Tuesday,3,31
2020-03-31, Landsmeer,415, North Holland,3,Tuesday,3,31
2020-03-31, Huizen,406, North Holland,9,Tuesday,3,31
2020-03-31, Hilversum,402, North Holland,13,Tuesday,3,31
2020-03-31, Den Helder,400, North Holland,6,Tuesday,3,31
2020-03-31, Heiloo,399, North Holland,5,Tuesday,3,31
2020-03-31, Hoorn,405, North Holland,13,Tuesday,3,31
2020-03-31, Heemstede,397, North Holland,4,Tuesday,3,31
2020-03-31, Heemskerk,396, North Holland,14,Tuesday,3,31
2020-03-31, Haarlemmermeer,394, North Holland,31,Tuesday,3,31
2020-03-31, Haarlem,392, North Holland,26,Tuesday,3,31
2020-03-31, Enkhuizen,388, North Holland,13,Tuesday,3,31
2020-03-31, Edam-Volendam,385, North Holland,10,Tuesday,3,31
2020-03-31, Diemen,384, North Holland,4,Tuesday,3,31
2020-03-31, Heerhugowaard,398, North Holland,17,Tuesday,3,31
2020-04-01, Waalwijk,867, North Brabant,16,Wednesday,4,1
2020-04-01, Tilburg,855, North Brabant,119,Wednesday,4,1
2020-04-01, Waalre,866, North Brabant,1,Wednesday,4,1
2020-04-01, Vught,865, North Brabant,24,Wednesday,4,1
2020-04-01, Veldhoven,861, North Brabant,8,Wednesday,4,1
2020-04-01, Valkenswaard,858, North Brabant,8,Wednesday,4,1
2020-04-01, Uden,856, North Brabant,73,Wednesday,4,1
2020-04-01, Waterland,852, North Holland,8,Wednesday,4,1
2020-04-01, Oirschot,823, North Brabant,6,Wednesday,4,1
2020-04-01, Son en Breugel,848, North Brabant,18,Wednesday,4,1
2020-04-01, Someren,847, North Brabant,13,Wednesday,4,1
2020-04-01, Sint-Michielsgestel,845, North Brabant,14,Wednesday,4,1
2020-04-01, Rucphen,840, North Brabant,4,Wednesday,4,1
2020-04-01, Oss,828, North Brabant,78,Wednesday,4,1
2020-04-01, Oosterhout,826, North Brabant,24,Wednesday,4,1
2020-04-01, Oisterwijk,824, North Brabant,10,Wednesday,4,1
2020-04-01, Woensdrecht,873, North Brabant,4,Wednesday,4,1
2020-04-01, Steenbergen,851, North Brabant,7,Wednesday,4,1
2020-04-01, Zundert,879, North Brabant,13,Wednesday,4,1
2020-04-01, Weert,988, Limburg,30,Wednesday,4,1
2020-04-01, Landgraaf,882, Limburg,7,Wednesday,4,1
"2020-04-01,"" """"Nuenen Gerwen and Nederwetten"""""",820,Noord-Brabant,9,Wednesday,4,1"
2020-04-01, Voerendaal,986, Limburg,2,Wednesday,4,1
2020-04-01, Venray,984, Limburg,22,Wednesday,4,1
2020-04-01, Venlo,983, Limburg,66,Wednesday,4,1
2020-04-01, Vaals,981, Limburg,2,Wednesday,4,1
2020-04-01, Stein,971, Limburg,11,Wednesday,4,1
2020-04-01, Simpelveld,965, Limburg,2,Wednesday,4,1
2020-04-01, Roermond,957, Limburg,30,Wednesday,4,1
2020-04-01, Wormerland,880, North Holland,9,Wednesday,4,1
2020-04-01, Nederweert,946, Limburg,24,Wednesday,4,1
2020-04-01, Meerssen,938, Limburg,3,Wednesday,4,1
2020-04-01, Maastricht,935, Limburg,26,Wednesday,4,1
2020-04-01, Kerkrade,928, Limburg,10,Wednesday,4,1
2020-04-01, Heerlen,917, Limburg,26,Wednesday,4,1
2020-04-01, Gennep,907, Limburg,11,Wednesday,4,1
2020-04-01, Brunssum,899, Limburg,9,Wednesday,4,1
2020-04-01, Bergen (L.),893, Limburg,3,Wednesday,4,1
2020-04-01, Beesel,889, Limburg,10,Wednesday,4,1
2020-04-01, Mook and Middelaar,944, Limburg,3,Wednesday,4,1
2020-04-01, Mill and Sint Hubert,815, North Brabant,6,Wednesday,4,1
2020-04-01, Wassenaar,629, South Holland,2,Wednesday,4,1
2020-04-01, Hilvarenbeek,798, North Brabant,5,Wednesday,4,1
2020-04-01, Tytsjerksteradiel,737, Friesland,1,Wednesday,4,1
2020-04-01, De Ronde Venen,736, Utrecht,12,Wednesday,4,1
2020-04-01, Vlissingen,718, Zeeland,6,Wednesday,4,1
2020-04-01, Veere,717, Zeeland,3,Wednesday,4,1
2020-04-01, Tholen,716, Zeeland,23,Wednesday,4,1
2020-04-01, Terneuzen,715, Zeeland,13,Wednesday,4,1
2020-04-01, Reimerswaal,703, Zeeland,4,Wednesday,4,1
2020-04-01, Middelburg,687, Zeeland,12,Wednesday,4,1
2020-04-01, Asten,743, North Brabant,5,Wednesday,4,1
2020-04-01, Kapelle,678, Zeeland,1,Wednesday,4,1
2020-04-01, West Maas and Waal,668, Gelderland,9,Wednesday,4,1
2020-04-01, Goes,664, Zeeland,6,Wednesday,4,1
2020-04-01, Borsele,654, Zeeland,3,Wednesday,4,1
2020-04-01, Zwijndrecht,642, South Holland,9,Wednesday,4,1
2020-04-01, Zoeterwoude,638, South Holland,2,Wednesday,4,1
2020-04-01, Zoetermeer,637, South Holland,22,Wednesday,4,1
2020-04-01, Woerden,632, Utrecht,25,Wednesday,4,1
2020-04-01, Valkenburg aan de Geul,994, Limburg,2,Wednesday,4,1
2020-04-01, Hulst,677, Zeeland,4,Wednesday,4,1
2020-04-01, Loon op Zand,809, North Brabant,15,Wednesday,4,1
2020-04-01, Baarle-Nassau,744, North Brabant,1,Wednesday,4,1
2020-04-01, Best,753, North Brabant,19,Wednesday,4,1
2020-04-01, Heusden,797, North Brabant,25,Wednesday,4,1
2020-04-01, 's-Hertogenbosch,796, North Brabant,69,Wednesday,4,1
2020-04-01, Helmond,794, North Brabant,38,Wednesday,4,1
